Code Point,Character,UTF-8 (Hex),Emacs Key Press,Block
"U+2117","℗","E28497","C-x 8 RET 2117 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2118","℘","E28498","C-x 8 RET 2118 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2119","ℙ","E28499","C-x 8 RET 2119 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+211A","ℚ","E2849A","C-x 8 RET 211A RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+211B","ℛ","E2849B","C-x 8 RET 211B RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+211C","ℜ","E2849C","C-x 8 RET 211C RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+211D","ℝ","E2849D","C-x 8 RET 211D RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+211E","℞","E2849E","C-x 8 RET 211E RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+211F","℟","E2849F","C-x 8 RET 211F RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2120","℠","E284A0","C-x 8 RET 2120 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2121","℡","E284A1","C-x 8 RET 2121 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2122","™","E284A2","C-x 8 RET 2122 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2123","℣","E284A3","C-x 8 RET 2123 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2124","ℤ","E284A4","C-x 8 RET 2124 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2125","℥","E284A5","C-x 8 RET 2125 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2126","Ω","E284A6","C-x 8 RET 2126 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2127","℧","E284A7","C-x 8 RET 2127 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2128","ℨ","E284A8","C-x 8 RET 2128 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2129","℩","E284A9","C-x 8 RET 2129 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+212A","K","E284AA","C-x 8 RET 212A RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+212B","Å","E284AB","C-x 8 RET 212B RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+212C","ℬ","E284AC","C-x 8 RET 212C RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+212D","ℭ","E284AD","C-x 8 RET 212D RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+212E","℮","E284AE","C-x 8 RET 212E RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+212F","ℯ","E284AF","C-x 8 RET 212F RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2130","ℰ","E284B0","C-x 8 RET 2130 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2131","ℱ","E284B1","C-x 8 RET 2131 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2132","Ⅎ","E284B2","C-x 8 RET 2132 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2133","ℳ","E284B3","C-x 8 RET 2133 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2134","ℴ","E284B4","C-x 8 RET 2134 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2135","ℵ","E284B5","C-x 8 RET 2135 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2136","ℶ","E284B6","C-x 8 RET 2136 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2137","ℷ","E284B7","C-x 8 RET 2137 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2138","ℸ","E284B8","C-x 8 RET 2138 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2139","ℹ","E284B9","C-x 8 RET 2139 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+213A","℺","E284BA","C-x 8 RET 213A RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+213B","℻","E284BB","C-x 8 RET 213B RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+213C","ℼ","E284BC","C-x 8 RET 213C RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+213D","ℽ","E284BD","C-x 8 RET 213D RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+213E","ℾ","E284BE","C-x 8 RET 213E RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+213F","ℿ","E284BF","C-x 8 RET 213F RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2140","⅀","E28580","C-x 8 RET 2140 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2141","⅁","E28581","C-x 8 RET 2141 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2142","⅂","E28582","C-x 8 RET 2142 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2143","⅃","E28583","C-x 8 RET 2143 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2144","⅄","E28584","C-x 8 RET 2144 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2145","ⅅ","E28585","C-x 8 RET 2145 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2146","ⅆ","E28586","C-x 8 RET 2146 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2147","ⅇ","E28587","C-x 8 RET 2147 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2148","ⅈ","E28588","C-x 8 RET 2148 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2149","ⅉ","E28589","C-x 8 RET 2149 RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+214A","⅊","E2858A","C-x 8 RET 214A RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+214B","⅋","E2858B","C-x 8 RET 214B RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+214C","⅌","E2858C","C-x 8 RET 214C RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+214D","⅍","E2858D","C-x 8 RET 214D RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+214E","ⅎ","E2858E","C-x 8 RET 214E RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+214F","⅏","E2858F","C-x 8 RET 214F RET","Letterlike Symbols (U+2100 to U+214F)" 
"U+2150","⅐","E28590","C-x 8 RET 2150 RET","Number Forms (U+2150 to U+218F)" 
"U+2151","⅑","E28591","C-x 8 RET 2151 RET","Number Forms (U+2150 to U+218F)" 
"U+2152","⅒","E28592","C-x 8 RET 2152 RET","Number Forms (U+2150 to U+218F)" 
"U+2153","⅓","E28593","C-x 8 RET 2153 RET","Number Forms (U+2150 to U+218F)" 
"U+2154","⅔","E28594","C-x 8 RET 2154 RET","Number Forms (U+2150 to U+218F)" 
"U+2155","⅕","E28595","C-x 8 RET 2155 RET","Number Forms (U+2150 to U+218F)" 
"U+2156","⅖","E28596","C-x 8 RET 2156 RET","Number Forms (U+2150 to U+218F)" 
"U+2157","⅗","E28597","C-x 8 RET 2157 RET","Number Forms (U+2150 to U+218F)" 
"U+2158","⅘","E28598","C-x 8 RET 2158 RET","Number Forms (U+2150 to U+218F)" 
"U+2159","⅙","E28599","C-x 8 RET 2159 RET","Number Forms (U+2150 to U+218F)" 
"U+215A","⅚","E2859A","C-x 8 RET 215A RET","Number Forms (U+2150 to U+218F)" 
"U+215B","⅛","E2859B","C-x 8 RET 215B RET","Number Forms (U+2150 to U+218F)" 
"U+215C","⅜","E2859C","C-x 8 RET 215C RET","Number Forms (U+2150 to U+218F)" 
"U+215D","⅝","E2859D","C-x 8 RET 215D RET","Number Forms (U+2150 to U+218F)" 
"U+215E","⅞","E2859E","C-x 8 RET 215E RET","Number Forms (U+2150 to U+218F)" 
"U+215F","⅟","E2859F","C-x 8 RET 215F RET","Number Forms (U+2150 to U+218F)" 
"U+2160","Ⅰ","E285A0","C-x 8 RET 2160 RET","Number Forms (U+2150 to U+218F)" 
"U+2161","Ⅱ","E285A1","C-x 8 RET 2161 RET","Number Forms (U+2150 to U+218F)" 
"U+2162","Ⅲ","E285A2","C-x 8 RET 2162 RET","Number Forms (U+2150 to U+218F)" 
"U+2163","Ⅳ","E285A3","C-x 8 RET 2163 RET","Number Forms (U+2150 to U+218F)" 
"U+2164","Ⅴ","E285A4","C-x 8 RET 2164 RET","Number Forms (U+2150 to U+218F)" 
"U+2165","Ⅵ","E285A5","C-x 8 RET 2165 RET","Number Forms (U+2150 to U+218F)" 
"U+2166","Ⅶ","E285A6","C-x 8 RET 2166 RET","Number Forms (U+2150 to U+218F)" 
"U+2167","Ⅷ","E285A7","C-x 8 RET 2167 RET","Number Forms (U+2150 to U+218F)" 
"U+2168","Ⅸ","E285A8","C-x 8 RET 2168 RET","Number Forms (U+2150 to U+218F)" 
"U+2169","Ⅹ","E285A9","C-x 8 RET 2169 RET","Number Forms (U+2150 to U+218F)" 
"U+216A","Ⅺ","E285AA","C-x 8 RET 216A RET","Number Forms (U+2150 to U+218F)" 
"U+216B","Ⅻ","E285AB","C-x 8 RET 216B RET","Number Forms (U+2150 to U+218F)" 
"U+216C","Ⅼ","E285AC","C-x 8 RET 216C RET","Number Forms (U+2150 to U+218F)" 
"U+216D","Ⅽ","E285AD","C-x 8 RET 216D RET","Number Forms (U+2150 to U+218F)" 
"U+216E","Ⅾ","E285AE","C-x 8 RET 216E RET","Number Forms (U+2150 to U+218F)" 
"U+216F","Ⅿ","E285AF","C-x 8 RET 216F RET","Number Forms (U+2150 to U+218F)" 
"U+2170","ⅰ","E285B0","C-x 8 RET 2170 RET","Number Forms (U+2150 to U+218F)" 
"U+2171","ⅱ","E285B1","C-x 8 RET 2171 RET","Number Forms (U+2150 to U+218F)" 
"U+2172","ⅲ","E285B2","C-x 8 RET 2172 RET","Number Forms (U+2150 to U+218F)" 
"U+2173","ⅳ","E285B3","C-x 8 RET 2173 RET","Number Forms (U+2150 to U+218F)" 
"U+2174","ⅴ","E285B4","C-x 8 RET 2174 RET","Number Forms (U+2150 to U+218F)" 
"U+2175","ⅵ","E285B5","C-x 8 RET 2175 RET","Number Forms (U+2150 to U+218F)" 
"U+2176","ⅶ","E285B6","C-x 8 RET 2176 RET","Number Forms (U+2150 to U+218F)" 
"U+2177","ⅷ","E285B7","C-x 8 RET 2177 RET","Number Forms (U+2150 to U+218F)" 
"U+2178","ⅸ","E285B8","C-x 8 RET 2178 RET","Number Forms (U+2150 to U+218F)" 
"U+2179","ⅹ","E285B9","C-x 8 RET 2179 RET","Number Forms (U+2150 to U+218F)" 
"U+217A","ⅺ","E285BA","C-x 8 RET 217A RET","Number Forms (U+2150 to U+218F)" 
"U+217B","ⅻ","E285BB","C-x 8 RET 217B RET","Number Forms (U+2150 to U+218F)" 
"U+217C","ⅼ","E285BC","C-x 8 RET 217C RET","Number Forms (U+2150 to U+218F)" 
"U+217D","ⅽ","E285BD","C-x 8 RET 217D RET","Number Forms (U+2150 to U+218F)" 
"U+217E","ⅾ","E285BE","C-x 8 RET 217E RET","Number Forms (U+2150 to U+218F)" 
"U+217F","ⅿ","E285BF","C-x 8 RET 217F RET","Number Forms (U+2150 to U+218F)" 
"U+2180","ↀ","E28680","C-x 8 RET 2180 RET","Number Forms (U+2150 to U+218F)" 
"U+2181","ↁ","E28681","C-x 8 RET 2181 RET","Number Forms (U+2150 to U+218F)" 
"U+2182","ↂ","E28682","C-x 8 RET 2182 RET","Number Forms (U+2150 to U+218F)" 
"U+2183","Ↄ","E28683","C-x 8 RET 2183 RET","Number Forms (U+2150 to U+218F)" 
"U+2184","ↄ","E28684","C-x 8 RET 2184 RET","Number Forms (U+2150 to U+218F)" 
"U+2185","ↅ","E28685","C-x 8 RET 2185 RET","Number Forms (U+2150 to U+218F)" 
"U+2186","ↆ","E28686","C-x 8 RET 2186 RET","Number Forms (U+2150 to U+218F)" 
"U+2187","ↇ","E28687","C-x 8 RET 2187 RET","Number Forms (U+2150 to U+218F)" 
"U+2188","ↈ","E28688","C-x 8 RET 2188 RET","Number Forms (U+2150 to U+218F)" 
"U+2189","↉","E28689","C-x 8 RET 2189 RET","Number Forms (U+2150 to U+218F)" 
"U+218A","↊","E2868A","C-x 8 RET 218A RET","Number Forms (U+2150 to U+218F)" 
"U+218B","↋","E2868B","C-x 8 RET 218B RET","Number Forms (U+2150 to U+218F)" 
"U+218C","↌","E2868C","C-x 8 RET 218C RET","Number Forms (U+2150 to U+218F)" 
"U+218D","↍","E2868D","C-x 8 RET 218D RET","Number Forms (U+2150 to U+218F)" 
"U+218E","↎","E2868E","C-x 8 RET 218E RET","Number Forms (U+2150 to U+218F)" 
"U+218F","↏","E2868F","C-x 8 RET 218F RET","Number Forms (U+2150 to U+218F)" 
"U+2190","←","E28690","C-x 8 RET 2190 RET","Arrows (U+2190 to U+21FF)" 
"U+2191","↑","E28691","C-x 8 RET 2191 RET","Arrows (U+2190 to U+21FF)" 
"U+2192","→","E28692","C-x 8 RET 2192 RET","Arrows (U+2190 to U+21FF)" 
"U+2193","↓","E28693","C-x 8 RET 2193 RET","Arrows (U+2190 to U+21FF)" 
"U+2194","↔","E28694","C-x 8 RET 2194 RET","Arrows (U+2190 to U+21FF)" 
"U+2195","↕","E28695","C-x 8 RET 2195 RET","Arrows (U+2190 to U+21FF)" 
"U+2196","↖","E28696","C-x 8 RET 2196 RET","Arrows (U+2190 to U+21FF)" 
"U+2197","↗","E28697","C-x 8 RET 2197 RET","Arrows (U+2190 to U+21FF)" 
"U+2198","↘","E28698","C-x 8 RET 2198 RET","Arrows (U+2190 to U+21FF)" 
"U+2199","↙","E28699","C-x 8 RET 2199 RET","Arrows (U+2190 to U+21FF)" 
"U+219A","↚","E2869A","C-x 8 RET 219A RET","Arrows (U+2190 to U+21FF)" 
"U+219B","↛","E2869B","C-x 8 RET 219B RET","Arrows (U+2190 to U+21FF)" 
"U+219C","↜","E2869C","C-x 8 RET 219C RET","Arrows (U+2190 to U+21FF)" 
"U+219D","↝","E2869D","C-x 8 RET 219D RET","Arrows (U+2190 to U+21FF)" 
"U+219E","↞","E2869E","C-x 8 RET 219E RET","Arrows (U+2190 to U+21FF)" 
"U+219F","↟","E2869F","C-x 8 RET 219F RET","Arrows (U+2190 to U+21FF)" 
"U+21A0","↠","E286A0","C-x 8 RET 21A0 RET","Arrows (U+2190 to U+21FF)" 
"U+21A1","↡","E286A1","C-x 8 RET 21A1 RET","Arrows (U+2190 to U+21FF)" 
"U+21A2","↢","E286A2","C-x 8 RET 21A2 RET","Arrows (U+2190 to U+21FF)" 
"U+21A3","↣","E286A3","C-x 8 RET 21A3 RET","Arrows (U+2190 to U+21FF)" 
"U+21A4","↤","E286A4","C-x 8 RET 21A4 RET","Arrows (U+2190 to U+21FF)" 
"U+21A5","↥","E286A5","C-x 8 RET 21A5 RET","Arrows (U+2190 to U+21FF)" 
"U+21A6","↦","E286A6","C-x 8 RET 21A6 RET","Arrows (U+2190 to U+21FF)" 
"U+21A7","↧","E286A7","C-x 8 RET 21A7 RET","Arrows (U+2190 to U+21FF)" 
"U+21A8","↨","E286A8","C-x 8 RET 21A8 RET","Arrows (U+2190 to U+21FF)" 
"U+21A9","↩","E286A9","C-x 8 RET 21A9 RET","Arrows (U+2190 to U+21FF)" 
"U+21AA","↪","E286AA","C-x 8 RET 21AA RET","Arrows (U+2190 to U+21FF)" 
"U+21AB","↫","E286AB","C-x 8 RET 21AB RET","Arrows (U+2190 to U+21FF)" 
"U+21AC","↬","E286AC","C-x 8 RET 21AC RET","Arrows (U+2190 to U+21FF)" 
"U+21AD","↭","E286AD","C-x 8 RET 21AD RET","Arrows (U+2190 to U+21FF)" 
"U+21AE","↮","E286AE","C-x 8 RET 21AE RET","Arrows (U+2190 to U+21FF)" 
"U+21AF","↯","E286AF","C-x 8 RET 21AF RET","Arrows (U+2190 to U+21FF)" 
"U+21B0","↰","E286B0","C-x 8 RET 21B0 RET","Arrows (U+2190 to U+21FF)" 
"U+21B1","↱","E286B1","C-x 8 RET 21B1 RET","Arrows (U+2190 to U+21FF)" 
"U+21B2","↲","E286B2","C-x 8 RET 21B2 RET","Arrows (U+2190 to U+21FF)" 
"U+21B3","↳","E286B3","C-x 8 RET 21B3 RET","Arrows (U+2190 to U+21FF)" 
"U+21B4","↴","E286B4","C-x 8 RET 21B4 RET","Arrows (U+2190 to U+21FF)" 
"U+21B5","↵","E286B5","C-x 8 RET 21B5 RET","Arrows (U+2190 to U+21FF)" 
"U+21B6","↶","E286B6","C-x 8 RET 21B6 RET","Arrows (U+2190 to U+21FF)" 
"U+21B7","↷","E286B7","C-x 8 RET 21B7 RET","Arrows (U+2190 to U+21FF)" 
"U+21B8","↸","E286B8","C-x 8 RET 21B8 RET","Arrows (U+2190 to U+21FF)" 
"U+21B9","↹","E286B9","C-x 8 RET 21B9 RET","Arrows (U+2190 to U+21FF)" 
"U+21BA","↺","E286BA","C-x 8 RET 21BA RET","Arrows (U+2190 to U+21FF)" 
"U+21BB","↻","E286BB","C-x 8 RET 21BB RET","Arrows (U+2190 to U+21FF)" 
"U+21BC","↼","E286BC","C-x 8 RET 21BC RET","Arrows (U+2190 to U+21FF)" 
"U+21BD","↽","E286BD","C-x 8 RET 21BD RET","Arrows (U+2190 to U+21FF)" 
"U+21BE","↾","E286BE","C-x 8 RET 21BE RET","Arrows (U+2190 to U+21FF)" 
"U+21BF","↿","E286BF","C-x 8 RET 21BF RET","Arrows (U+2190 to U+21FF)" 
"U+21C0","⇀","E28780","C-x 8 RET 21C0 RET","Arrows (U+2190 to U+21FF)" 
"U+21C1","⇁","E28781","C-x 8 RET 21C1 RET","Arrows (U+2190 to U+21FF)" 
"U+21C2","⇂","E28782","C-x 8 RET 21C2 RET","Arrows (U+2190 to U+21FF)" 
"U+21C3","⇃","E28783","C-x 8 RET 21C3 RET","Arrows (U+2190 to U+21FF)" 
"U+21C4","⇄","E28784","C-x 8 RET 21C4 RET","Arrows (U+2190 to U+21FF)" 
"U+21C5","⇅","E28785","C-x 8 RET 21C5 RET","Arrows (U+2190 to U+21FF)" 
"U+21C6","⇆","E28786","C-x 8 RET 21C6 RET","Arrows (U+2190 to U+21FF)" 
"U+21C7","⇇","E28787","C-x 8 RET 21C7 RET","Arrows (U+2190 to U+21FF)" 
"U+21C8","⇈","E28788","C-x 8 RET 21C8 RET","Arrows (U+2190 to U+21FF)" 
"U+21C9","⇉","E28789","C-x 8 RET 21C9 RET","Arrows (U+2190 to U+21FF)" 
"U+21CA","⇊","E2878A","C-x 8 RET 21CA RET","Arrows (U+2190 to U+21FF)" 
"U+21CB","⇋","E2878B","C-x 8 RET 21CB RET","Arrows (U+2190 to U+21FF)" 
"U+21CC","⇌","E2878C","C-x 8 RET 21CC RET","Arrows (U+2190 to U+21FF)" 
"U+21CD","⇍","E2878D","C-x 8 RET 21CD RET","Arrows (U+2190 to U+21FF)" 
"U+21CE","⇎","E2878E","C-x 8 RET 21CE RET","Arrows (U+2190 to U+21FF)" 
"U+21CF","⇏","E2878F","C-x 8 RET 21CF RET","Arrows (U+2190 to U+21FF)" 
"U+21D0","⇐","E28790","C-x 8 RET 21D0 RET","Arrows (U+2190 to U+21FF)" 
"U+21D1","⇑","E28791","C-x 8 RET 21D1 RET","Arrows (U+2190 to U+21FF)" 
"U+21D2","⇒","E28792","C-x 8 RET 21D2 RET","Arrows (U+2190 to U+21FF)" 
"U+21D3","⇓","E28793","C-x 8 RET 21D3 RET","Arrows (U+2190 to U+21FF)" 
"U+21D4","⇔","E28794","C-x 8 RET 21D4 RET","Arrows (U+2190 to U+21FF)" 
"U+21D5","⇕","E28795","C-x 8 RET 21D5 RET","Arrows (U+2190 to U+21FF)" 
"U+21D6","⇖","E28796","C-x 8 RET 21D6 RET","Arrows (U+2190 to U+21FF)" 
"U+21D7","⇗","E28797","C-x 8 RET 21D7 RET","Arrows (U+2190 to U+21FF)" 
"U+21D8","⇘","E28798","C-x 8 RET 21D8 RET","Arrows (U+2190 to U+21FF)" 
"U+21D9","⇙","E28799","C-x 8 RET 21D9 RET","Arrows (U+2190 to U+21FF)" 
"U+21DA","⇚","E2879A","C-x 8 RET 21DA RET","Arrows (U+2190 to U+21FF)" 
"U+21DB","⇛","E2879B","C-x 8 RET 21DB RET","Arrows (U+2190 to U+21FF)" 
"U+21DC","⇜","E2879C","C-x 8 RET 21DC RET","Arrows (U+2190 to U+21FF)" 
"U+21DD","⇝","E2879D","C-x 8 RET 21DD RET","Arrows (U+2190 to U+21FF)" 
"U+21DE","⇞","E2879E","C-x 8 RET 21DE RET","Arrows (U+2190 to U+21FF)" 
"U+21DF","⇟","E2879F","C-x 8 RET 21DF RET","Arrows (U+2190 to U+21FF)" 
"U+21E0","⇠","E287A0","C-x 8 RET 21E0 RET","Arrows (U+2190 to U+21FF)" 
"U+21E1","⇡","E287A1","C-x 8 RET 21E1 RET","Arrows (U+2190 to U+21FF)" 
"U+21E2","⇢","E287A2","C-x 8 RET 21E2 RET","Arrows (U+2190 to U+21FF)" 
"U+21E3","⇣","E287A3","C-x 8 RET 21E3 RET","Arrows (U+2190 to U+21FF)" 
"U+21E4","⇤","E287A4","C-x 8 RET 21E4 RET","Arrows (U+2190 to U+21FF)" 
"U+21E5","⇥","E287A5","C-x 8 RET 21E5 RET","Arrows (U+2190 to U+21FF)" 
"U+21E6","⇦","E287A6","C-x 8 RET 21E6 RET","Arrows (U+2190 to U+21FF)" 
"U+21E7","⇧","E287A7","C-x 8 RET 21E7 RET","Arrows (U+2190 to U+21FF)" 
"U+21E8","⇨","E287A8","C-x 8 RET 21E8 RET","Arrows (U+2190 to U+21FF)" 
"U+21E9","⇩","E287A9","C-x 8 RET 21E9 RET","Arrows (U+2190 to U+21FF)" 
"U+21EA","⇪","E287AA","C-x 8 RET 21EA RET","Arrows (U+2190 to U+21FF)" 
"U+21EB","⇫","E287AB","C-x 8 RET 21EB RET","Arrows (U+2190 to U+21FF)" 
"U+21EC","⇬","E287AC","C-x 8 RET 21EC RET","Arrows (U+2190 to U+21FF)" 
"U+21ED","⇭","E287AD","C-x 8 RET 21ED RET","Arrows (U+2190 to U+21FF)" 
"U+21EE","⇮","E287AE","C-x 8 RET 21EE RET","Arrows (U+2190 to U+21FF)" 
"U+21EF","⇯","E287AF","C-x 8 RET 21EF RET","Arrows (U+2190 to U+21FF)" 
"U+21F0","⇰","E287B0","C-x 8 RET 21F0 RET","Arrows (U+2190 to U+21FF)" 
"U+21F1","⇱","E287B1","C-x 8 RET 21F1 RET","Arrows (U+2190 to U+21FF)" 
"U+21F2","⇲","E287B2","C-x 8 RET 21F2 RET","Arrows (U+2190 to U+21FF)" 
"U+21F3","⇳","E287B3","C-x 8 RET 21F3 RET","Arrows (U+2190 to U+21FF)" 
"U+21F4","⇴","E287B4","C-x 8 RET 21F4 RET","Arrows (U+2190 to U+21FF)" 
"U+21F5","⇵","E287B5","C-x 8 RET 21F5 RET","Arrows (U+2190 to U+21FF)" 
"U+21F6","⇶","E287B6","C-x 8 RET 21F6 RET","Arrows (U+2190 to U+21FF)" 
"U+21F7","⇷","E287B7","C-x 8 RET 21F7 RET","Arrows (U+2190 to U+21FF)" 
"U+21F8","⇸","E287B8","C-x 8 RET 21F8 RET","Arrows (U+2190 to U+21FF)" 
"U+21F9","⇹","E287B9","C-x 8 RET 21F9 RET","Arrows (U+2190 to U+21FF)" 
"U+21FA","⇺","E287BA","C-x 8 RET 21FA RET","Arrows (U+2190 to U+21FF)" 
"U+21FB","⇻","E287BB","C-x 8 RET 21FB RET","Arrows (U+2190 to U+21FF)" 
"U+21FC","⇼","E287BC","C-x 8 RET 21FC RET","Arrows (U+2190 to U+21FF)" 
"U+21FD","⇽","E287BD","C-x 8 RET 21FD RET","Arrows (U+2190 to U+21FF)" 
"U+21FE","⇾","E287BE","C-x 8 RET 21FE RET","Arrows (U+2190 to U+21FF)" 
"U+21FF","⇿","E287BF","C-x 8 RET 21FF RET","Arrows (U+2190 to U+21FF)" 
"U+27F0","⟰","E29FB0","C-x 8 RET 27F0 RET","Supplemental Arrows-A (U+27F0 to U+27FF)" 
"U+27F1","⟱","E29FB1","C-x 8 RET 27F1 RET","Supplemental Arrows-A (U+27F0 to U+27FF)" 
"U+27F2","⟲","E29FB2","C-x 8 RET 27F2 RET","Supplemental Arrows-A (U+27F0 to U+27FF)" 
"U+27F3","⟳","E29FB3","C-x 8 RET 27F3 RET","Supplemental Arrows-A (U+27F0 to U+27FF)" 
"U+27F4","⟴","E29FB4","C-x 8 RET 27F4 RET","Supplemental Arrows-A (U+27F0 to U+27FF)" 
"U+27F5","⟵","E29FB5","C-x 8 RET 27F5 RET","Supplemental Arrows-A (U+27F0 to U+27FF)" 
"U+27F6","⟶","E29FB6","C-x 8 RET 27F6 RET","Supplemental Arrows-A (U+27F0 to U+27FF)" 
"U+27F7","⟷","E29FB7","C-x 8 RET 27F7 RET","Supplemental Arrows-A (U+27F0 to U+27FF)" 
"U+27F8","⟸","E29FB8","C-x 8 RET 27F8 RET","Supplemental Arrows-A (U+27F0 to U+27FF)" 
"U+27F9","⟹","E29FB9","C-x 8 RET 27F9 RET","Supplemental Arrows-A (U+27F0 to U+27FF)" 
"U+27FA","⟺","E29FBA","C-x 8 RET 27FA RET","Supplemental Arrows-A (U+27F0 to U+27FF)" 
"U+27FB","⟻","E29FBB","C-x 8 RET 27FB RET","Supplemental Arrows-A (U+27F0 to U+27FF)" 
"U+27FC","⟼","E29FBC","C-x 8 RET 27FC RET","Supplemental Arrows-A (U+27F0 to U+27FF)" 
"U+27FD","⟽","E29FBD","C-x 8 RET 27FD RET","Supplemental Arrows-A (U+27F0 to U+27FF)" 
"U+27FE","⟾","E29FBE","C-x 8 RET 27FE RET","Supplemental Arrows-A (U+27F0 to U+27FF)" 
"U+27FF","⟿","E29FBF","C-x 8 RET 27FF RET","Supplemental Arrows-A (U+27F0 to U+27FF)" 
"U+2900","⤀","E2A480","C-x 8 RET 2900 RET","Supplemental Arrows-B (U+2900 to U+297F)" 
"U+2901","⤁","E2A481","C-x 8 RET 2901 RET","Supplemental Arrows-B (U+2900 to U+297F)" 
"U+2902","⤂","E2A482","C-x 8 RET 2902 RET","Supplemental Arrows-B (U+2900 to U+297F)" 
"U+2903","⤃","E2A483","C-x 8 RET 2903 RET","Supplemental Arrows-B (U+2900 to U+297F)" 
"U+2904","⤄","E2A484","C-x 8 RET 2904 RET","Supplemental Arrows-B (U+2900 to U+297F)" 
"U+2905","⤅","E2A485","C-x 8 RET 2905 RET","Supplemental Arrows-B (U+2900 to U+297F)" 
"U+2906","⤆","E2A486","C-x 8 RET 2906 RET","Supplemental Arrows-B (U+2900 to U+297F)" 
"U+2907","⤇","E2A487","C-x 8 RET 2907 RET","Supplemental Arrows-B (U+2900 to U+297F)" 
"U+2908","⤈","E2A488","C-x 8 RET 2908 RET","Supplemental Arrows-B (U+2900 to U+297F)" 
"U+2909","⤉","E2A489","C-x 8 RET 2909 RET","Supplemental Arrows-B (U+2900 to U+297F)" 
"U+290A","⤊","E2A48A","C-x 8 RET 290A RET","Supplemental Arrows-B (U+2900 to U+297F)" 
"U+290B","⤋","E2A48B","C-x 8 RET 290B RET","Supplemental Arrows-B (U+2900 to U+297F)" 
"U+290C","⤌","E2A48C","C-x 8 RET 290C RET","Supplemental Arrows-B (U+2900 to U+297F)" 
"U+290D","⤍","E2A48D","C-x 8 RET 290D RET","Supplemental Arrows-B (U+2900 to U+297F)" 
"U+290E","⤎","E2A48E","C-x 8 RET 290E RET","Supplemental Arrows-B (U+2900 to U+297F)" 
"U+290F","⤏","E2A48F","C-x 8 RET 290F RET","Supplemental Arrows-B (U+2900 to U+297F)" 
"U+2910","⤐","E2A490","C-x 8 RET 2910 RET","Supplemental Arrows-B (U+2900 to U+297F)" 
"U+2911","⤑","E2A491","C-x 8 RET 2911 RET","Supplemental Arrows-B (U+2900 to U+297F)" 
